,DATE,Close
705,2021-12-05,161.84
706,2021-12-06,165.32
707,2021-12-07,171.18
708,2021-12-08,175.08
709,2021-12-09,174.56
710,2021-12-10,179.45
711,2021-12-11,179.45
712,2021-12-12,179.45
713,2021-12-13,175.74
714,2021-12-14,174.33
715,2021-12-15,179.3
716,2021-12-16,172.26
717,2021-12-17,171.14
718,2021-12-18,171.14
719,2021-12-19,171.14
720,2021-12-20,169.75
721,2021-12-21,172.99
722,2021-12-22,175.64
723,2021-12-23,176.28
724,2021-12-24,176.28
725,2021-12-25,176.28
726,2021-12-26,176.28
727,2021-12-27,180.33
728,2021-12-28,179.29
729,2021-12-29,179.38
730,2021-12-30,178.2
731,2021-12-31,177.57
732,2022-01-01,177.57
733,2022-01-02,177.57
734,2022-01-03,182.01
735,2022-01-04,179.7
736,2022-01-05,174.92
737,2022-01-06,172.0
738,2022-01-07,172.17
739,2022-01-08,172.17
740,2022-01-09,172.17
741,2022-01-10,172.19
742,2022-01-11,175.08
743,2022-01-12,175.53
744,2022-01-13,172.19
745,2022-01-14,173.07
746,2022-01-15,173.07
747,2022-01-16,173.07
748,2022-01-17,173.07
749,2022-01-18,169.8
750,2022-01-19,166.23
751,2022-01-20,164.51
752,2022-01-21,162.41
753,2022-01-22,162.41
754,2022-01-23,162.41
755,2022-01-24,161.62
756,2022-01-25,159.78
757,2022-01-26,159.69
758,2022-01-27,159.22
759,2022-01-28,170.33
760,2022-01-29,170.33
761,2022-01-30,170.33
762,2022-01-31,174.78
763,2022-02-01,174.61
764,2022-02-02,175.84
765,2022-02-03,172.9
766,2022-02-04,172.39
767,2022-02-05,172.39
768,2022-02-06,172.39
769,2022-02-07,171.66
770,2022-02-08,174.83
771,2022-02-09,176.28
772,2022-02-10,172.12
773,2022-02-11,168.64
774,2022-02-12,168.64
775,2022-02-13,168.64
776,2022-02-14,168.88
777,2022-02-15,172.79
778,2022-02-16,172.55
779,2022-02-17,168.88
780,2022-02-18,167.3
781,2022-02-19,167.3
782,2022-02-20,167.3
783,2022-02-21,167.3
784,2022-02-22,164.32
785,2022-02-23,160.07
786,2022-02-24,162.74
787,2022-02-25,164.85
788,2022-02-26,164.85
789,2022-02-27,164.85
